system,workload,concurrency,e2e_ms_avg,e2e_ms_max,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p95,e2e_ms_p99,itl_ms_avg,itl_ms_max,itl_ms_min,itl_ms_p50,itl_ms_p90,itl_ms_p95,itl_ms_p99,out_tok_per_s_avg,out_tok_per_s_per_user_avg,out_tok_per_s_per_user_max,out_tok_per_s_per_user_min,out_tok_per_s_per_user_p50,out_tok_per_s_per_user_p90,out_tok_per_s_per_user_p95,out_tok_per_s_per_user_p99,req_per_s_avg,ttft_ms_avg,ttft_ms_max,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99
h100nvl-co3,think,64,2121.57870155,3744.4320949999997,706.5805439999999,1870.4571655,3499.5726309000006,3720.3736499499996,3739.6204059899997,5.736070250344311,7.402752684210526,4.9429860746705705,5.466038018635837,6.767489216151203,6.8367824043136185,7.289558628231144,1800.828362417453,176.7855676127935,202.30686166087284,135.08488567136914,183.05326696292533,196.47427278154322,202.06757267795456,202.25900386428918,5.307481174233578,306.37110505,369.58829499999996,145.365825,284.3873155,368.6218528,369.41964055,369.55456411
h100nvl-co4,agent,1,4391.9791722499995,4415.006442,4382.839411999999,4389.9384355,4398.394404600001,4404.89608125,4412.98436985,4.255081294551099,4.314127323647294,4.225451461764706,4.244770654983919,4.286850925316099,4.2940268148364025,4.310107221885116,229.67129141861517,235.02160094505524,236.66110214466,231.79658943273134,235.5839897268765,236.5230866391821,236.53831870905896,236.6365454575398,0.22646678639117998,81.10910249999999,101.208924,76.832818,80.0849945,85.84402879999999,87.60388375000001,98.48791594999999
h100nvl-co4,agent,16,6224.980653,6591.632939,4775.012369,6584.970676999999,6590.9005682,6591.0368558,6591.5137223599995,5.494734384572266,6.345892327380952,4.48879406039604,5.5083622752702555,5.9457438453345075,6.03732136088615,6.284178134081991,1777.2945237211693,183.87558294828273,222.77698342698557,157.582251385711,181.5423439256453,220.90314678917832,221.9331564610365,222.60821803379577,1.7535341361759849,660.9371331499999,1006.0857699999999,72.64993299999999,600.1542115,1005.4601372,1005.8792229,1006.04446058
h100nvl-co4,agent,4,4766.50704005,4821.07159,4123.539863999999,4796.2621315,4820.4155162,4820.8227261,4821.02181722,4.506737498085306,4.671131180974478,4.430483107526881,4.476712754912736,4.624148117662237,4.646123966977366,4.666129738175056,836.7563572212447,221.94852675623534,225.70901992631792,214.0809070130595,223.37820250241634,225.12220925916833,225.458823333673,225.65898060778895,0.8292105412954561,224.59421075,281.783733,89.708343,258.873293,281.0632501,281.54602114999994,281.73619063
h100nvl-co4,batch,1,616.5814837999999,636.96053,609.8363069999999,615.4877385,620.8926187999999,623.3372278999999,634.2358695799999,4.235663421076887,4.312634508064516,4.184104984251968,4.226384212598425,4.296473222909676,4.311995280645161,4.3125066625806445,204.4103273430807,236.10616258152672,238.99973919482787,231.87682566886335,236.60887328658708,237.6609740292136,237.9031018176315,238.78041171938858,1.603847213362736,81.01339354999999,98.582124,76.039457,79.659122,83.4195806,89.15599315,96.69689782999998
h100nvl-co4,batch,128,2038.1372287,2043.498114,2019.575496,2038.163994,2042.8029015,2043.00894,2043.4002791999999,8.76900117994729,14.151557307086614,6.043741220472441,7.448843448818898,11.07605506190476,11.231588135592428,13.567563472787773,1242.3128357902651,121.78894386818186,165.4604265008272,70.66360106525056,134.2490291002133,165.35097577005325,165.4201241842376,165.45236603750928,9.735994010895494,927.9266393999999,1275.74613,222.32771799999998,1091.540346,1274.9031432999998,1275.0970320499998,1275.61631041
h100nvl-co4,batch,16,1504.84060475,1679.662259,824.373781,1672.16355,1678.7230984,1679.1865303499999,1679.56711327,6.483594649444463,11.506071267716536,4.438693692913386,5.124462346456693,8.26774428356059,8.658835304849244,10.936624075143072,1016.0235287807676,166.880656134282,225.29150898530213,86.91063845621888,195.14242507735557,222.07175621564488,225.24273252352006,225.28175369294573,7.9594479340444,683.86916015,1029.170416,89.527322,625.5767225,1028.1691399,1028.7296207499999,1029.08225695
h100nvl-co4,batch,4,813.1109263999999,827.982169,797.693261,807.4140209999999,827.4382017999999,827.5932295,827.9043811,4.733918512031496,5.810164842519685,4.370501165354331,4.428247515748032,5.718521672516536,5.743110835433071,5.7967540411023615,623.1929074298173,213.8638988175506,228.80671167122927,172.11215638527935,225.82297200650464,228.79202734367826,228.80356823694186,228.80608298437178,4.876313829654283,212.92492369999997,271.07462499999997,75.643686,251.13764749999999,270.5796284,270.7884033,271.01738066
h100nvl-co4,batch,64,1951.94865315,1957.374052,1942.372533,1954.1588345,1956.9514925999997,1957.2893005999997,1957.35710172,7.464142220899408,13.951345228346455,5.993088377952756,6.846692345238095,7.865758403930563,13.95126183031496,13.951328548740156,1292.9848537683017,140.9928283699547,166.85887758284665,71.67767578198782,146.055927675388,164.50519487714,166.7046185488248,166.82802577604227,10.153002385302722,1008.5025962999999,1196.1626159999998,170.55168899999998,1091.4950875,1195.5527545999998,1195.9451743,1196.11912766
h100nvl-co4,chat,1,1120.841355,1161.810099,1113.543611,1118.5009905,1129.1022775999998,1131.7827574,1155.80463068,4.2026388549063505,4.264759796,4.152591568627451,4.187919288235294,4.248624127091633,4.251887209720318,4.262185278744063,225.5018704390069,237.95763702886433,240.81347357995244,234.47979436917387,238.78232583681122,239.34211823482923,239.55227276268403,240.56123341649877,0.8851888927929613,54.46972529999999,95.26549999999999,48.762733999999995,51.164286499999996,61.2614083,63.83880270000002,88.98016053999996
h100nvl-co4,chat,16,1662.7213495499998,1771.18321,1231.622323,1769.6547825,1771.0294497,1771.1092886,1771.16842572,4.763940011417159,4.941384354838709,4.32711331372549,4.842893786561264,4.9031087628449805,4.921302074569244,4.937367898784816,1679.2403701441947,210.27639299427955,231.1009505639767,202.3724382056576,206.4881133466866,231.0756044914777,231.08852222894643,231.09846489697065,6.607280622247471,456.9639565,545.8121659999999,55.072179,544.347187,545.5752675,545.7373915,545.7972111
h100nvl-co4,chat,4,1252.20435045,1285.058063,1236.128301,1244.972334,1284.6467546,1284.9905835499999,1285.04456711,4.407337800657163,4.643040342519685,4.2969359450980384,4.3429792745557245,4.598789037549407,4.621255927600292,4.638683459535806,806.9024811404776,227.0499170589579,232.72397186669815,215.37611699004108,230.25675121441685,231.80150975701113,232.00253810681744,232.579685114722,3.169294898430784,134.53938374999998,179.304476,56.796054,144.833474,178.9229034,179.29807584999998,179.30319597
h100nvl-co4,rag,1,1381.1240076,1401.162774,1369.3560459999999,1379.2915345,1388.2749665,1390.6685971,1399.0639386199998,4.379909589885477,4.440931529880478,4.322705027667984,4.373952166666665,4.431121457436145,4.438423011294024,4.440429826163188,182.16142433463185,228.33161834710486,231.33662685734552,225.1779819777842,228.62618697874672,230.76531126981067,231.33216154158225,231.33573379419286,0.7191528793313535,276.1306033,291.01892699999996,269.31816499999996,275.6591995,278.1971685,279.97889910000004,288.81092141999994
h100nvl-co4,rag,16,5023.8666746,5738.246722,2234.197311,5718.367188499999,5734.2066948,5737.84697435,5738.16677247,11.831095543901618,21.415592697211153,4.823179847058823,11.145565215686274,17.657192259495798,19.6490124777177,21.06227665331246,638.0443681083017,101.7970005166035,207.33209867962944,46.69494858903555,90.33837121847174,154.06664198506812,201.08155066282998,206.08198907626954,2.510997119670609,2033.3156123499998,3838.6898429999997,316.637966,1950.2660895,3615.6877518,3838.60801665,3838.67347773
